a,b,p_calib
-125,-70,8.8139723350121414e-10
-125,-69,5.9086136031631191e-09
-125,-68,3.2742667971424823e-11
-125,-67,2.0320048795417463e-09
-125,-66,4.5018007107378992e-10
-125,-65,2.468974082207013e-10
-125,-64,2.7382477793408059e-09
-125,-63,2.123848764787939e-10
-125,-62,1.6881752259751125e-10
-125,-61,1.0173298454917269e-09
-125,-60,1.0129051605650855e-09
-125,-59,6.4150660835255899e-09
-125,-58,1.4630852316388754e-09
-125,-57,3.0652635912551058e-09
-125,-56,5.8148259027780272e-10
-125,-55,1.6581506091258936e-09
-125,-54,3.0387154816952568e-09
-125,-52,2.737394412796027e-09
-125,-51,1.6881752259751125e-10
-125,-50,2.0173086437699407e-09
-125,-49,3.0383678428244227e-09
-125,-48,4.9698534495698309e-09
-125,-47,5.2624673199042282e-09
-125,-46,1.4630852316388754e-09
-125,-45,5.1020407919980952e-09
-125,-44,1.0195864125656627e-08
-125,-43,5.9859033321059993e-09
-125,-42,4.42468492664154e-12
-125,-41,1.1112232220507222e-08
-125,-40,8.2630358600791014e-09
-125,-39,2.0718270414529075e-09
-125,-38,6.1149774268345628e-09
-125,-37,2.5508149337994639e-09
-125,-36,3.94184116718572e-09
-125,-35,1.4505143784080184e-08
-125,-34,1.0778453181477839e-08
-125,-33,9.5312767075747013e-09
-125,-32,1.2232183272610773e-08
-125,-31,6.5848949003958898e-09
-125,-30,6.1367217340214204e-09
-125,-29,3.0556367630258065e-08
-125,-28,2.3777086581196685e-08
-125,-27,1.6211697205741602e-08
-125,-26,1.3132638184666697e-08
-125,-25,2.0247926349569204e-08
-125,-24,1.9736196558479555e-08
-125,-23,2.3844879330540364e-08
-125,-22,2.2272330659280228e-08
-125,-21,2.5954141472755264e-08
-125,-20,3.0710299480690524e-08
-125,-19,2.5671641893407354e-08
-125,-18,3.5619549818245615e-08
-125,-17,3.8753191257177461e-08
-125,-16,3.1775446914808045e-08
-125,-15,3.8888965140097685e-08
-125,-14,8.2098618088984388e-08
-125,-13,7.7467620808125178e-08
-125,-12,8.464447139373653e-08
-125,-11,9.537094852551418e-08
-125,-10,1.2187099088118551e-07
-125,-9,1.2641509606319743e-07
-125,-8,1.2929549705312633e-07
-125,-7,1.6556834419488271e-07
-125,-6,2.0134205994777911e-07
-125,-5,2.5540301480802914e-07
-125,-4,2.4500962126380851e-07
-125,-3,3.1968526760491801e-07
-125,-2,3.835899706869486e-07
-125,-1,3.673023174888818e-07
-125,0,3.7880001594725582e-07
-125,1,3.2449533639352462e-07
-125,2,3.3763862764902131e-07
-125,3,3.463379842781066e-07
-125,4,2.6518139309459449e-07
-125,5,2.4723931503507398e-07
-125,6,2.2713974359691558e-07
-125,7,1.9036077969920377e-07
-125,8,1.4384771924744084e-07
-125,9,1.2343080129285958e-07
-125,10,1.198817913215337e-07
-125,11,8.3693937869459618e-08
-125,12,1.2751292189749087e-07
-125,13,7.4306940375699173e-08
-125,14,7.0054705195922906e-08
-125,15,6.668576965369924e-08
-125,16,6.201892692304488e-08
-125,17,2.7046849573041332e-08
-125,18,4.7616783615409547e-08
