[design] balanced_split quad4 entries=112
[device] cuda
[initial] score=633.3274449084 wNMSE=2.3795204 wMSE=153289.4152 wMRED=11.86246824 wER=0.436890 wMAE=201.8958 wBias=99.4712 condBias=218.2938 dotDrift=+16.260sigma uMRED=0.3612703972 uER=0.431641 uMAE=127.0059 WCE=1184 bias=68.0000
[quad_warmup_bit:04000] loss=0.112333 tau=1.50 collapse_w=0.000 mid_frac=0.179 hard=score=158.9257247363 wNMSE=0.37916291 wMSE=24425.7877 wMRED=3.71084233 wER=0.222748 wMAE=52.8745 wBias=-49.8818 condBias=99.2036 dotDrift=-20.427sigma uMRED=0.0984152478 uER=0.263672 uMAE=27.0938 WCE=512 bias=-17.5000
[quad_warmup_bit:04200] loss=0.103550 tau=1.50 collapse_w=0.000 mid_frac=0.152 hard=score=158.9257247363 wNMSE=0.37916291 wMSE=24425.7877 wMRED=3.71084233 wER=0.222748 wMAE=52.8745 wBias=-49.8818 condBias=99.2036 dotDrift=-20.427sigma uMRED=0.0984152478 uER=0.263672 uMAE=27.0938 WCE=512 bias=-17.5000
[quad_warmup_bit:04400] loss=0.093905 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=169.8470882237 wNMSE=0.37769485 wMSE=24331.2146 wMRED=3.70181239 wER=0.216649 wMAE=52.1357 wBias=-51.5739 condBias=102.5818 dotDrift=-21.161sigma uMRED=0.0943759275 uER=0.244141 uMAE=24.4219 WCE=512 bias=-21.5000
[quad_warmup_bit:04500] loss=0.089657 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.4233683633 wNMSE=0.0057142628 wMSE=368.1145 wMRED=0.13619763 wER=0.157132 wMAE=5.3327 wBias=-2.5241 condBias=10.6084 dotDrift=-8.420sigma uMRED=0.0163898091 uER=0.228516 uMAE=9.7500 WCE=144 bias=-5.5000 *BEST*
[quad_warmup_bit:04600] loss=0.086026 tau=1.50 collapse_w=0.000 mid_frac=0.134 hard=score=0.4233683633 wNMSE=0.0057142628 wMSE=368.1145 wMRED=0.13619763 wER=0.157132 wMAE=5.3327 wBias=-2.5241 condBias=10.6084 dotDrift=-8.420sigma uMRED=0.0163898091 uER=0.228516 uMAE=9.7500 WCE=144 bias=-5.5000
[quad_warmup_bit:04800] loss=0.080200 tau=1.50 collapse_w=0.000 mid_frac=0.098 hard=score=0.4540442330 wNMSE=0.005831598 wMSE=375.6733 wMRED=0.13687759 wER=0.157132 wMAE=5.4182 wBias=-2.6175 condBias=10.6725 dotDrift=-8.643sigma uMRED=0.0172863942 uER=0.228516 uMAE=10.6250 WCE=144 bias=-6.5000
[quad_warmup_bit:05000] loss=0.075134 tau=1.50 collapse_w=0.000 mid_frac=0.080 hard=score=0.4540442330 wNMSE=0.005831598 wMSE=375.6733 wMRED=0.13687759 wER=0.157132 wMAE=5.4182 wBias=-2.6175 condBias=10.6725 dotDrift=-8.643sigma uMRED=0.0172863942 uER=0.228516 uMAE=10.6250 WCE=144 bias=-6.5000
[quad_warmup_bit:05200] loss=0.070329 tau=1.50 collapse_w=0.000 mid_frac=0.080 hard=score=0.4540442330 wNMSE=0.005831598 wMSE=375.6733 wMRED=0.13687759 wER=0.157132 wMAE=5.4182 wBias=-2.6175 condBias=10.6725 dotDrift=-8.643sigma uMRED=0.0172863942 uER=0.228516 uMAE=10.6250 WCE=144 bias=-6.5000
[quad_warmup_bit:05300] loss=0.068379 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.2667839424 wNMSE=0.0046508822 wMSE=299.6112 wMRED=0.12249365 wER=0.157132 wMAE=4.7850 wBias=-1.9844 condBias=9.5202 dotDrift=-7.337sigma uMRED=0.0155435880 uER=0.228516 uMAE=9.6250 WCE=144 bias=-5.5000 *BEST*
[quad_warmup_bit:05400] loss=0.066756 tau=1.50 collapse_w=0.000 mid_frac=0.062 hard=score=0.2667839424 wNMSE=0.0046508822 wMSE=299.6112 wMRED=0.12249365 wER=0.157132 wMAE=4.7850 wBias=-1.9844 condBias=9.5202 dotDrift=-7.337sigma uMRED=0.0155435880 uER=0.228516 uMAE=9.6250 WCE=144 bias=-5.5000
