[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=0.3351065546 wNMSE=0.0031435239 wMSE=239.4748 wMRED=0.26551016 wER=0.215477 wMAE=5.7772 wBias=2.3997 condBias=7.7322 dotDrift=+9.925sigma uMRED=0.0145236903 uER=0.242188 uMAE=8.0312 WCE=75 bias=-2.5625
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_soft:00200] loss=0.049341 tau=1.59 collapse_w=0.000 mid_frac=0.188 hard=score=0.0439396392 wNMSE=0.00091329537 wMSE=69.5752 wMRED=0.02893017 wER=0.092849 wMAE=1.6543 wBias=0.8351 condBias=4.1683 dotDrift=+6.408sigma uMRED=0.0052275215 uER=0.152344 uMAE=3.6250 WCE=64 bias=0.8750
[quad_soft:00400] loss=0.051390 tau=1.68 collapse_w=0.000 mid_frac=0.167 hard=score=0.0439396392 wNMSE=0.00091329537 wMSE=69.5752 wMRED=0.02893017 wER=0.092849 wMAE=1.6543 wBias=0.8351 condBias=4.1683 dotDrift=+6.408sigma uMRED=0.0052275215 uER=0.152344 uMAE=3.6250 WCE=64 bias=0.8750
[quad_soft:00600] loss=0.052357 tau=1.77 collapse_w=0.000 mid_frac=0.167 hard=score=0.0439396392 wNMSE=0.00091329537 wMSE=69.5752 wMRED=0.02893017 wER=0.092849 wMAE=1.6543 wBias=0.8351 condBias=4.1683 dotDrift=+6.408sigma uMRED=0.0052275215 uER=0.152344 uMAE=3.6250 WCE=64 bias=0.8750
[quad_soft:00800] loss=0.053512 tau=1.86 collapse_w=0.000 mid_frac=0.167 hard=score=0.0439396392 wNMSE=0.00091329537 wMSE=69.5752 wMRED=0.02893017 wER=0.092849 wMAE=1.6543 wBias=0.8351 condBias=4.1683 dotDrift=+6.408sigma uMRED=0.0052275215 uER=0.152344 uMAE=3.6250 WCE=64 bias=0.8750
[quad_soft:01000] loss=0.054776 tau=1.95 collapse_w=0.000 mid_frac=0.188 hard=score=0.0439396392 wNMSE=0.00091329537 wMSE=69.5752 wMRED=0.02893017 wER=0.092849 wMAE=1.6543 wBias=0.8351 condBias=4.1683 dotDrift=+6.408sigma uMRED=0.0052275215 uER=0.152344 uMAE=3.6250 WCE=64 bias=0.8750
[quad_soft:01200] loss=0.053494 tau=2.04 collapse_w=0.000 mid_frac=0.188 hard=score=0.0439396392 wNMSE=0.00091329537 wMSE=69.5752 wMRED=0.02893017 wER=0.092849 wMAE=1.6543 wBias=0.8351 condBias=4.1683 dotDrift=+6.408sigma uMRED=0.0052275215 uER=0.152344 uMAE=3.6250 WCE=64 bias=0.8750
[quad_soft:01400] loss=0.045040 tau=2.13 collapse_w=0.000 mid_frac=0.188 hard=score=0.0439396392 wNMSE=0.00091329537 wMSE=69.5752 wMRED=0.02893017 wER=0.092849 wMAE=1.6543 wBias=0.8351 condBias=4.1683 dotDrift=+6.408sigma uMRED=0.0052275215 uER=0.152344 uMAE=3.6250 WCE=64 bias=0.8750
[quad_soft:01600] loss=0.043194 tau=2.22 collapse_w=0.000 mid_frac=0.188 hard=score=0.0495854147 wNMSE=0.00087985943 wMSE=67.0280 wMRED=0.02846104 wER=0.092241 wMAE=1.5920 wBias=0.8974 condBias=4.0913 dotDrift=+7.015sigma uMRED=0.0046634626 uER=0.144531 uMAE=3.1250 WCE=64 bias=1.3750
[quad_soft:01800] loss=0.040146 tau=2.31 collapse_w=0.000 mid_frac=0.188 hard=score=0.0495854147 wNMSE=0.00087985943 wMSE=67.0280 wMRED=0.02846104 wER=0.092241 wMAE=1.5920 wBias=0.8974 condBias=4.0913 dotDrift=+7.015sigma uMRED=0.0046634626 uER=0.144531 uMAE=3.1250 WCE=64 bias=1.3750
[quad_soft:02000] loss=0.039455 tau=2.40 collapse_w=0.000 mid_frac=0.188 hard=score=0.0495854147 wNMSE=0.00087985943 wMSE=67.0280 wMRED=0.02846104 wER=0.092241 wMAE=1.5920 wBias=0.8974 condBias=4.0913 dotDrift=+7.015sigma uMRED=0.0046634626 uER=0.144531 uMAE=3.1250 WCE=64 bias=1.3750
[quad_soft:02200] loss=0.038741 tau=2.49 collapse_w=0.000 mid_frac=0.167 hard=score=0.0495854147 wNMSE=0.00087985943 wMSE=67.0280 wMRED=0.02846104 wER=0.092241 wMAE=1.5920 wBias=0.8974 condBias=4.0913 dotDrift=+7.015sigma uMRED=0.0046634626 uER=0.144531 uMAE=3.1250 WCE=64 bias=1.3750
[quad_soft:02400] loss=0.039163 tau=2.58 collapse_w=0.000 mid_frac=0.167 hard=score=0.0495854147 wNMSE=0.00087985943 wMSE=67.0280 wMRED=0.02846104 wER=0.092241 wMAE=1.5920 wBias=0.8974 condBias=4.0913 dotDrift=+7.015sigma uMRED=0.0046634626 uER=0.144531 uMAE=3.1250 WCE=64 bias=1.3750
[quad_soft:02600] loss=0.037288 tau=2.67 collapse_w=0.000 mid_frac=0.167 hard=score=0.0289064919 wNMSE=0.0008221237 wMSE=62.6297 wMRED=0.03070985 wER=0.092241 wMAE=1.6746 wBias=0.6561 condBias=3.9546 dotDrift=+5.306sigma uMRED=0.0049169623 uER=0.144531 uMAE=3.3125 WCE=64 bias=1.0000
